name,id,frequent_build,winning_build
Ryze, 13, [u'Vision Ward'; u"Sorcerer's Shoes"; u'Rod of Ages'; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u'Warding Totem (Trinket)'], [u'Cloth Armor'; u"Doran's Ring"; u"Sorcerer's Shoes"; u'Glacial Shroud'; u'Rod of Ages'; u"Seraph's Embrace"; u'Sweeping Lens (Trinket)']
Sion, 14, [u'Ninja Tabi'; u"Warmog's Armor"; u"Banshee's Veil"; u'Frozen Heart'; u'Greater Vision Totem (Trinket)'; u"Cinderhulk - Stalker's Blade"; u'Righteous Glory'], []
Sivir, 15, [u"Berserker's Greaves"; u'Infinity Edge'; u'Phantom Dancer'; u'The Bloodthirster'; u'Statikk Shiv'; u"Banshee's Veil"; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Phantom Dancer'; u'The Bloodthirster'; u'Statikk Shiv'; u"Banshee's Veil"; u'Warding Totem (Trinket)']
Soraka, 16, [u'Sightstone'; u'Talisman of Ascension'; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u'Ardent Censer'], [u'Sightstone'; u'Talisman of Ascension'; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u'Ardent Censer']
Teemo, 17, [u"Sorcerer's Shoes"; u"Nashor's Tooth"; u'Void Staff'; u"Liandry's Torment"; u'Blade of the Ruined King'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Runaan's Hurricane (Ranged Only)"; u'Void Staff'; u"Liandry's Torment"; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Greater Vision Totem (Trinket)']
Tristana, 18, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Statikk Shiv'; u'Quicksilver Sash'; u'Blade of the Ruined King'; u'Scrying Orb (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u"Spectre's Cowl"; u'Farsight Orb (Trinket)']
Warwick, 19, [u'Kindlegem'; u"Wit's End"; u'Boots of Mobility'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Ranger's Trailblazer"], [u'Kindlegem'; u"Wit's End"; u'Boots of Mobility'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Ranger's Trailblazer"]
Nunu, 20, [u'Thornmail'; u"Banshee's Veil"; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u"Cinderhulk - Poacher's Knife"], [u'Thornmail'; u"Banshee's Veil"; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u"Cinderhulk - Poacher's Knife"]
MissFortune, 21, [u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'The Bloodthirster'; u'Statikk Shiv'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)'], []
Ashe, 22, [u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'Phantom Dancer'; u'The Bloodthirster'; u'Warding Totem (Trinket)'], [u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'Phantom Dancer'; u'The Bloodthirster'; u'Warding Totem (Trinket)']
Tryndamere, 23, [u"Rabadon's Deathcap"; u"Nashor's Tooth"; u'Void Staff'; u"Zhonya's Hourglass"; u'Ionian Boots of Lucidity'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Rabadon's Deathcap"; u"Nashor's Tooth"; u'Void Staff'; u"Zhonya's Hourglass"; u'Ionian Boots of Lucidity'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Jax, 24, [u'Ninja Tabi'; u'Spirit Visage'; u'Trinity Force'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Stalker's Blade"], [u'Ninja Tabi'; u'Spirit Visage'; u'Trinity Force'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Stalker's Blade"]
Morgana, 25, [u'Twin Shadows'; u"Rabadon's Deathcap"; u"Frost Queen's Claim"; u'Boots of Mobility'; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Warding Totem (Trinket)'], [u'Sightstone'; u'Twin Shadows'; u'Frostfang'; u'Boots of Mobility'; u'Void Staff'; u"Zhonya's Hourglass"; u'Sweeping Lens (Trinket)']
Singed, 27, [u"Seraph's Embrace"; u'Spirit Visage'; u"Warmog's Armor"; u"Mercury's Treads"; u"Rylai's Crystal Scepter"; u"Oracle's Lens (Trinket)"; u"Cinderhulk - Stalker's Blade"], [u"Seraph's Embrace"; u'Spirit Visage'; u"Warmog's Armor"; u"Mercury's Treads"; u"Rylai's Crystal Scepter"; u"Oracle's Lens (Trinket)"; u"Cinderhulk - Stalker's Blade"]
Evelynn, 28, [u'Spirit Visage'; u'Ravenous Hydra (Melee Only)'; u"Warmog's Armor"; u"Mercury's Treads"; u'Bilgewater Cutlass'; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Stalker's Blade"], [u'Spirit Visage'; u'Ravenous Hydra (Melee Only)'; u"Warmog's Armor"; u"Mercury's Treads"; u'Bilgewater Cutlass'; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Stalker's Blade"]
Karthus, 30, [u'Blasting Wand'; u"Doran's Ring"; u"Doran's Ring"; u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Warding Totem (Trinket)'], []
Chogath, 31, [u'Rod of Ages'; u"Warmog's Armor"; u"Banshee's Veil"; u'Frozen Heart'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Rod of Ages'; u"Warmog's Armor"; u"Banshee's Veil"; u'Frozen Heart'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Amumu, 32, [u'Guardian Angel'; u'Ninja Tabi'; u'Frozen Heart'; u"Randuin's Omen"; u'Locket of the Iron Solari'; u'Greater Vision Totem (Trinket)'; u"Cinderhulk - Ranger's Trailblazer"], [u'Glacial Shroud'; u"Warden's Mail"; u"Banshee's Veil"; u"Mercury's Treads"; u"Randuin's Omen"; u'Greater Stealth Totem (Trinket)'; u"Cinderhulk - Stalker's Blade"]
Rammus, 33, [u'Boots of Swiftness'; u'Spirit Visage'; u'Thornmail'; u"Warmog's Armor"; u'Frozen Heart'; u'Warding Totem (Trinket)'; u"Cinderhulk - Stalker's Blade"], [u'Boots of Swiftness'; u'Spirit Visage'; u'Thornmail'; u"Warmog's Armor"; u'Frozen Heart'; u'Warding Totem (Trinket)'; u"Cinderhulk - Stalker's Blade"]
Anivia, 34, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u"Liandry's Torment"; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Greater Stealth Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u"Liandry's Torment"; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Greater Stealth Totem (Trinket)']
Shaco, 35, [u"Berserker's Greaves"; u'Ravenous Hydra (Melee Only)'; u'Statikk Shiv'; u'Quicksilver Sash'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)'; u"Warrior - Stalker's Blade"], [u"Berserker's Greaves"; u'Infinity Edge'; u'Ravenous Hydra (Melee Only)'; u"Warmog's Armor"; u'Statikk Shiv'; u'Greater Stealth Totem (Trinket)'; u"Warrior - Stalker's Blade"]
DrMundo, 36, [u'Frozen Mallet'; u'Spirit Visage'; u"Warden's Mail"; u"Banshee's Veil"; u"Mercury's Treads"; u'Warding Totem (Trinket)'; u"Cinderhulk - Stalker's Blade"], [u'Frozen Mallet'; u'Spirit Visage'; u"Warden's Mail"; u"Banshee's Veil"; u"Mercury's Treads"; u'Warding Totem (Trinket)'; u"Cinderhulk - Stalker's Blade"]
Sona, 37, [u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Lich Bane'; u"Nashor's Tooth"; u'Ionian Boots of Lucidity'; u"Spellthief's Edge"; u'Warding Totem (Trinket)'], [u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Lich Bane'; u"Nashor's Tooth"; u'Ionian Boots of Lucidity'; u"Spellthief's Edge"; u'Warding Totem (Trinket)']
Kassadin, 38, [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Stealth Totem (Trinket)'], []
Irelia, 39, [u'Guardian Angel'; u'Spirit Visage'; u'Trinity Force'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Greater Vision Totem (Trinket)'], [u'Guardian Angel'; u'Spirit Visage'; u'Trinity Force'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Greater Vision Totem (Trinket)']
Janna, 40, [u'Sightstone'; u'Kindlegem'; u'Talisman of Ascension'; u'Frozen Heart'; u'Boots of Mobility'; u"Mikael's Crucible"; u"Oracle's Lens (Trinket)"], [u'Sightstone'; u'Ohmwrecker'; u'Talisman of Ascension'; u'Frozen Heart'; u'Boots of Mobility'; u"Mikael's Crucible"; u"Oracle's Lens (Trinket)"]
Gangplank, 41, [u'Infinity Edge'; u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Trinity Force'; u'Frozen Heart'; u'Warding Totem (Trinket)'], [u'Infinity Edge'; u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Trinity Force'; u'Frozen Heart'; u'Warding Totem (Trinket)']
Corki, 42, [u'Recurve Bow'; u"Doran's Blade"; u'Vision Ward'; u"Sorcerer's Shoes"; u'Trinity Force'; u'Bilgewater Cutlass'; u'Greater Stealth Totem (Trinket)'], [u'Recurve Bow'; u"Doran's Blade"; u'Vision Ward'; u"Sorcerer's Shoes"; u'Trinity Force'; u'Bilgewater Cutlass'; u'Greater Stealth Totem (Trinket)']
Taric, 44, [u"Giant's Belt"; u'Ninja Tabi'; u'Sunfire Cape'; u'Thornmail'; u'Frozen Heart'; u'Warding Totem (Trinket)'; u'Face of the Mountain'], [u"Giant's Belt"; u'Ninja Tabi'; u'Sunfire Cape'; u'Thornmail'; u'Frozen Heart'; u'Warding Totem (Trinket)'; u'Face of the Mountain']
Veigar, 45, [u'Guardian Angel'; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Stealth Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Banshee's Veil"; u'Void Staff'; u'Morellonomicon'; u"Athene's Unholy Grail"; u'Greater Vision Totem (Trinket)']
Trundle, 48, [u'Spirit Visage'; u'Frozen Heart'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Hexdrinker'; u'Warding Totem (Trinket)'], [u'Spirit Visage'; u'Sunfire Cape'; u"Warmog's Armor"; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Swain, 50, [u'Null-Magic Mantle'; u"Sorcerer's Shoes"; u'Rod of Ages'; u'Spirit Visage'; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u'Greater Stealth Totem (Trinket)'], [u'Null-Magic Mantle'; u"Sorcerer's Shoes"; u'Rod of Ages'; u'Spirit Visage'; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u'Greater Stealth Totem (Trinket)']
Caitlyn, 51, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Quicksilver Sash'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Quicksilver Sash'; u'Warding Totem (Trinket)']
Blitzcrank, 53, [u"Rylai's Crystal Scepter"; u'Boots of Mobility'; u"Liandry's Torment"; u'Morellonomicon'; u'Warding Totem (Trinket)'; u'Crystalline Bracer'; u'Crystalline Bracer'], [u"Rylai's Crystal Scepter"; u'Boots of Mobility'; u"Liandry's Torment"; u'Morellonomicon'; u'Warding Totem (Trinket)'; u'Crystalline Bracer'; u'Crystalline Bracer']
Malphite, 54, [u'Ninja Tabi'; u'Sunfire Cape'; u'Thornmail'; u'Frozen Heart'; u"Randuin's Omen"; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'], [u'Guardian Angel'; u'Ninja Tabi'; u'Trinity Force'; u"Banshee's Veil"; u'Frozen Heart'; u"Randuin's Omen"; u'Greater Stealth Totem (Trinket)']
Katarina, 55, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Stealth Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Stealth Totem (Trinket)']
Nocturne, 56, [u'Frozen Mallet'; u"Mercury's Treads"; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Maw of Malmortius'; u'Farsight Orb (Trinket)'; u"(Sated) Devourer - Skirmisher's Sabre"], [u'Frozen Mallet'; u"Mercury's Treads"; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Maw of Malmortius'; u'Farsight Orb (Trinket)'; u"(Sated) Devourer - Skirmisher's Sabre"]
Maokai, 57, [u'Rod of Ages'; u'Thornmail'; u'Frozen Heart'; u"Mercury's Treads"; u"Randuin's Omen"; u"Spectre's Cowl"; u"Oracle's Lens (Trinket)"], [u'Rod of Ages'; u'Thornmail'; u'Frozen Heart'; u"Mercury's Treads"; u"Randuin's Omen"; u"Spectre's Cowl"; u"Oracle's Lens (Trinket)"]
Renekton, 58, [u"Giant's Belt"; u'Spirit Visage'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u"Warden's Mail"; u"Mercury's Treads"; u'Warding Totem (Trinket)'], [u"Doran's Blade"; u'Spirit Visage'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u"Mercury's Treads"; u"Randuin's Omen"; u'Greater Stealth Totem (Trinket)']
JarvanIV, 59, [u'Vampiric Scepter'; u"Doran's Blade"; u'Sunfire Cape'; u'The Black Cleaver'; u'Tiamat (Melee Only)'; u"Mercury's Treads"; u'Warding Totem (Trinket)'], []
Elise, 60, [u"Sorcerer's Shoes"; u"Randuin's Omen"; u"Liandry's Torment"; u"Zhonya's Hourglass"; u"Spectre's Cowl"; u"Oracle's Lens (Trinket)"; u"Runeglaive - Stalker's Blade"], [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u'Sunfire Cape'; u"Liandry's Torment"; u"Zhonya's Hourglass"; u"Oracle's Lens (Trinket)"; u"Runeglaive - Stalker's Blade"]
Orianna, 61, [u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Athene's Unholy Grail"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Athene's Unholy Grail"; u'Warding Totem (Trinket)']
MonkeyKing, 62, [u'Ravenous Hydra (Melee Only)'; u"Warmog's Armor"; u"Banshee's Veil"; u"Mercury's Treads"; u"Youmuu's Ghostblade"; u"Randuin's Omen"; u'Greater Stealth Totem (Trinket)'], [u'Phage'; u'Sheen'; u'The Black Cleaver'; u'Zeal'; u'Boots of Mobility'; u'Sweeping Lens (Trinket)'; u"Warrior - Stalker's Blade"]
Brand, 63, [u"Doran's Ring"; u"Sorcerer's Shoes"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Liandry's Torment"; u"Athene's Unholy Grail"; u'Greater Stealth Totem (Trinket)'], []
LeeSin, 64, [u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u"Mercury's Treads"; u"Randuin's Omen"; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u"Warrior - Stalker's Blade"], [u'Sightstone'; u'Last Whisper'; u'The Black Cleaver'; u'Boots of Mobility'; u"Randuin's Omen"; u"Oracle's Lens (Trinket)"; u"Warrior - Stalker's Blade"]
Vayne, 67, [u"Berserker's Greaves"; u'Statikk Shiv'; u'Quicksilver Sash'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u"Spectre's Cowl"; u'Greater Stealth Totem (Trinket)'], [u"Berserker's Greaves"; u'Statikk Shiv'; u'Quicksilver Sash'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u"Spectre's Cowl"; u'Greater Stealth Totem (Trinket)']
Rumble, 68, [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Liandry's Torment"; u'Warding Totem (Trinket)'], [u'Blasting Wand'; u'Health Potion'; u"Sorcerer's Shoes"; u"Rylai's Crystal Scepter"; u"Liandry's Torment"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Cassiopeia, 69, [u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Vision Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Vision Totem (Trinket)']
Skarner, 72, [u'Ninja Tabi'; u'Spirit Visage'; u'Trinity Force'; u'Frozen Heart'; u'Farsight Orb (Trinket)'; u"Cinderhulk - Stalker's Blade"; u'Righteous Glory'], [u'Ninja Tabi'; u'Spirit Visage'; u'Trinity Force'; u'Frozen Heart'; u'Farsight Orb (Trinket)'; u"Cinderhulk - Stalker's Blade"; u'Righteous Glory']
Heimerdinger, 74, [u'Sightstone'; u"Zeke's Harbinger"; u"Frost Queen's Claim"; u"Mercury's Treads"; u"Rylai's Crystal Scepter"; u"Zhonya's Hourglass"; u"Oracle's Lens (Trinket)"], [u'Negatron Cloak'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Greater Stealth Totem (Trinket)']
Nasus, 75, [u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Banshee's Veil"; u"Randuin's Omen"; u'Greater Vision Totem (Trinket)'], [u'Phage'; u'Kindlegem'; u'Thornmail'; u"Warmog's Armor"; u'Frozen Heart'; u'Ionian Boots of Lucidity'; u'Greater Stealth Totem (Trinket)']
Nidalee, 76, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Aether Wisp'; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Warding Totem (Trinket)'; u"Runeglaive - Stalker's Blade"], [u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Stealth Totem (Trinket)'; u"Runeglaive - Ranger's Trailblazer"]
Udyr, 77, [u'Spirit Visage'; u'Trinity Force'; u"Wit's End"; u'Frozen Heart'; u"Mercury's Treads"; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Ranger's Trailblazer"], [u'Phage'; u'Spirit Visage'; u'Zeal'; u'Frozen Heart'; u"Mercury's Treads"; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Stalker's Blade"]
Poppy, 78, [u'Ruby Crystal'; u"Doran's Blade"; u'Ravenous Hydra (Melee Only)'; u'Trinity Force'; u"Randuin's Omen"; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)'], [u'Ruby Crystal'; u"Doran's Blade"; u'Ravenous Hydra (Melee Only)'; u'Trinity Force'; u"Randuin's Omen"; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)']
Gragas, 79, [u"Giant's Belt"; u'Ninja Tabi'; u'Spirit Visage'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u"Cinderhulk - Stalker's Blade"; u'Crystalline Bracer'], []
Pantheon, 80, [u'Long Sword'; u'Last Whisper'; u'Ninja Tabi'; u'Kindlegem'; u'Ravenous Hydra (Melee Only)'; u"Warmog's Armor"; u'Warding Totem (Trinket)'], [u'Long Sword'; u'Last Whisper'; u'Ninja Tabi'; u'Kindlegem'; u'Ravenous Hydra (Melee Only)'; u"Warmog's Armor"; u'Warding Totem (Trinket)']
Ezreal, 81, [u'Infinity Edge'; u'Last Whisper'; u'Muramana'; u'Trinity Force'; u'Ionian Boots of Lucidity'; u'Greater Stealth Totem (Trinket)'; u'Essence Reaver'], [u'Iceborn Gauntlet'; u'Infinity Edge'; u'Last Whisper'; u'Muramana'; u'Trinity Force'; u'Ionian Boots of Lucidity'; u'Farsight Orb (Trinket)']
Mordekaiser, 82, [u'Abyssal Scepter'; u"Rylai's Crystal Scepter"; u'Haunting Guise'; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)'], [u'Abyssal Scepter'; u"Rylai's Crystal Scepter"; u'Haunting Guise'; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)']
Garen, 86, [u'Infinity Edge'; u'Spirit Visage'; u'Sunfire Cape'; u'The Black Cleaver'; u"Mercury's Treads"; u'Mercurial Scimitar'; u'Warding Totem (Trinket)'], [u'Guardian Angel'; u'Spirit Visage'; u'Sunfire Cape'; u'The Black Cleaver'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Leona, 89, [u'Sightstone'; u"Mercury's Treads"; u"Randuin's Omen"; u'Locket of the Iron Solari'; u"Oracle's Lens (Trinket)"; u'Face of the Mountain'; u'Righteous Glory'], [u'Sightstone'; u"Mercury's Treads"; u"Randuin's Omen"; u'Locket of the Iron Solari'; u"Oracle's Lens (Trinket)"; u'Face of the Mountain'; u'Righteous Glory']
Malzahar, 90, [u'Amplifying Tome'; u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u'Amplifying Tome'; u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Riven, 92, [u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Ravenous Hydra (Melee Only)'; u'Maw of Malmortius'; u'Warding Totem (Trinket)'], [u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Ravenous Hydra (Melee Only)'; u'Maw of Malmortius'; u'Warding Totem (Trinket)']
