Champion Name, Champion Key, Most Frequent Build, Most Frequent Winning Build
MasterYi, 11, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Statikk Shiv'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Statikk Shiv'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
Alistar, 12, [u"Giant's Belt"; u'Sightstone'; u"Warden's Mail"; u'Boots of Mobility'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'; u'Righteous Glory'], [u"Giant's Belt"; u'Sightstone'; u"Warden's Mail"; u'Boots of Mobility'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'; u'Righteous Glory']
Ryze, 13, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Sion, 14, [u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u'Frozen Heart'; u'Warding Totem (Trinket)'], [u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u'Frozen Heart'; u'Warding Totem (Trinket)']
Sivir, 15, [u'B. F. Sword'; u'Vampiric Scepter'; u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Soraka, 16, [u'Sightstone'; u'Talisman of Ascension'; u'Frozen Heart'; u'Ionian Boots of Lucidity'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u'Ardent Censer'], [u'Sightstone'; u'Talisman of Ascension'; u'Frozen Heart'; u'Ionian Boots of Lucidity'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u'Ardent Censer']
Teemo, 17, [u"Sorcerer's Shoes"; u"Runaan's Hurricane (Ranged Only)"; u"Rabadon's Deathcap"; u"Nashor's Tooth"; u'Void Staff'; u"Liandry's Torment"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Nashor's Tooth"; u'Void Staff'; u"Liandry's Torment"; u'Morellonomicon'; u'Warding Totem (Trinket)']
Tristana, 18, [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'The Bloodthirster'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'The Bloodthirster'; u'Warding Totem (Trinket)']
Warwick, 19, [u"Giant's Belt"; u'Ruby Crystal'; u'Pickaxe'; u'Boots of Mobility'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Devourer'], [u'Frozen Mallet'; u'Spirit Visage'; u'Boots of Mobility'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Devourer']
Nunu, 20, [u"Giant's Belt"; u'Sightstone'; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u"Oracle's Lens (Trinket)"; u'Enchantment: Cinderhulk'], [u'Spirit Visage'; u'Frozen Heart'; u'Boots of Mobility'; u"Liandry's Torment"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'; u'Righteous Glory']
MissFortune, 21, [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Ashe, 22, [u'B. F. Sword'; u'Vampiric Scepter'; u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Phantom Dancer'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Tryndamere, 23, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Statikk Shiv'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Statikk Shiv'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Jax, 24, [u"Giant's Belt"; u'Crystalline Flask'; u'Trinity Force'; u"Warden's Mail"; u"Mercury's Treads"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u'Ruby Crystal'; u'Trinity Force'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u"Spectre's Cowl"; u'Warding Totem (Trinket)']
Morgana, 25, [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Zilean, 26, [u'Sightstone'; u"Nomad's Medallion"; u'Ionian Boots of Lucidity'; u'Morellonomicon'; u"Seeker's Armguard"; u"Mikael's Crucible"; u'Sweeping Lens (Trinket)'], [u'Sightstone'; u'Kindlegem'; u'Talisman of Ascension'; u'Forbidden Idol'; u'Boots of Mobility'; u"Oracle's Lens (Trinket)"; u'Righteous Glory']
Singed, 27, [u'Rod of Ages'; u"Seraph's Embrace"; u'Thornmail'; u"Mercury's Treads"; u"Rylai's Crystal Scepter"; u"Liandry's Torment"; u'Warding Totem (Trinket)'], [u'Rod of Ages'; u"Seraph's Embrace"; u'Thornmail'; u"Warmog's Armor"; u"Banshee's Veil"; u"Mercury's Treads"; u'Warding Totem (Trinket)']
Evelynn, 28, [u'Ruby Crystal'; u'Iceborn Gauntlet'; u'Boots of Mobility'; u"Randuin's Omen"; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Warrior'], [u'Iceborn Gauntlet'; u'Boots of Mobility'; u"Randuin's Omen"; u'Blade of the Ruined King'; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
Twitch, 29, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Statikk Shiv'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Statikk Shiv'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Karthus, 30, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Chogath, 31, [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u'Rod of Ages'; u'Frozen Heart'; u"Mercury's Treads"; u'Warding Totem (Trinket)'], [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u'Rod of Ages'; u'Frozen Heart'; u"Mercury's Treads"; u'Warding Totem (Trinket)']
Amumu, 32, [u'Ruby Crystal'; u'Ninja Tabi'; u'Frozen Heart'; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'; u'Righteous Glory'], [u'Ruby Crystal'; u'Ninja Tabi'; u'Frozen Heart'; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'; u'Righteous Glory']
Rammus, 33, [u'Thornmail'; u"Warmog's Armor"; u'Boots of Mobility'; u"Randuin's Omen"; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'], [u'Blasting Wand'; u'Negatron Cloak'; u'Thornmail'; u'Boots of Mobility'; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'; u'Righteous Glory']
Anivia, 34, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Shaco, 35, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Ravenous Hydra (Melee Only)'; u'Statikk Shiv'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Ravenous Hydra (Melee Only)'; u'Statikk Shiv'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
DrMundo, 36, [u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Sona, 37, [u'Sightstone'; u'Sheen'; u"Frost Queen's Claim"; u'Aether Wisp'; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)'; u'Ardent Censer'], [u'Sightstone'; u"Frost Queen's Claim"; u'Ionian Boots of Lucidity'; u'Locket of the Iron Solari'; u"Mikael's Crucible"; u"Oracle's Lens (Trinket)"; u'Ardent Censer']
Kassadin, 38, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Lich Bane'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Lich Bane'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Irelia, 39, [u"Giant's Belt"; u'Crystalline Flask'; u'Spirit Visage'; u'Trinity Force'; u"Warden's Mail"; u"Mercury's Treads"; u'Warding Totem (Trinket)'], [u'Crystalline Flask'; u'Ninja Tabi'; u'Spirit Visage'; u'Trinity Force'; u"Randuin's Omen"; u'Bilgewater Cutlass'; u'Warding Totem (Trinket)']
Janna, 40, [u'Sightstone'; u'Talisman of Ascension'; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u"Mikael's Crucible"; u"Oracle's Lens (Trinket)"], [u'Sightstone'; u'Chalice of Harmony'; u'Talisman of Ascension'; u'Forbidden Idol'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)']
Gangplank, 41, [u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'Trinity Force'; u'Statikk Shiv'; u"Youmuu's Ghostblade"; u'Greater Stealth Totem (Trinket)'], [u'Infinity Edge'; u'Spirit Visage'; u'Trinity Force'; u'Statikk Shiv'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Corki, 42, [u'Vampiric Scepter'; u"Doran's Blade"; u"Sorcerer's Shoes"; u'Infinity Edge'; u'Last Whisper'; u'Trinity Force'; u'Warding Totem (Trinket)'], [u'Vampiric Scepter'; u"Doran's Blade"; u"Sorcerer's Shoes"; u'Infinity Edge'; u'Last Whisper'; u'Trinity Force'; u'Warding Totem (Trinket)']
Karma, 43, [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Amplifying Tome'; u'Sightstone'; u"Sorcerer's Shoes"; u"Frost Queen's Claim"; u'Haunting Guise'; u'Morellonomicon'; u'Sweeping Lens (Trinket)']
Taric, 44, [u'Ruby Sightstone'; u'Ninja Tabi'; u'Thornmail'; u'Frozen Heart'; u'Locket of the Iron Solari'; u"Oracle's Lens (Trinket)"; u'Face of the Mountain'], [u'Ruby Crystal'; u'Sightstone'; u'Ninja Tabi'; u'Sunfire Cape'; u'Aegis of the Legion'; u'Warding Totem (Trinket)'; u'Face of the Mountain']
Veigar, 45, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Trundle, 48, [u'Kindlegem'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'], [u'Kindlegem'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk']
Swain, 50, [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u'Rod of Ages'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u'Rod of Ages'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Caitlyn, 51, [u'Vampiric Scepter'; u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'Warding Totem (Trinket)'], [u'Vampiric Scepter'; u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'Warding Totem (Trinket)']
Blitzcrank, 53, [u"Giant's Belt"; u'Sightstone'; u"Warden's Mail"; u'Boots of Mobility'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'; u'Righteous Glory'], [u"Giant's Belt"; u'Sightstone'; u"Warden's Mail"; u'Boots of Mobility'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'; u'Righteous Glory']
Malphite, 54, [u'Ninja Tabi'; u'Sunfire Cape'; u'Thornmail'; u"Banshee's Veil"; u'Frozen Heart'; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Ninja Tabi'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u'Frozen Heart'; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Katarina, 55, [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Nocturne, 56, [u'Ravenous Hydra (Melee Only)'; u"Banshee's Veil"; u'Boots of Mobility'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Devourer'], [u'Ravenous Hydra (Melee Only)'; u"Banshee's Veil"; u'Boots of Mobility'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Devourer']
Maokai, 57, [u'Spirit Visage'; u'Frozen Heart'; u'Boots of Mobility'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'; u'Righteous Glory'], [u"Doran's Ring"; u'Rod of Ages'; u'Ninja Tabi'; u'Kindlegem'; u'Frozen Heart'; u"Spectre's Cowl"; u'Warding Totem (Trinket)']
Renekton, 58, [u'Spirit Visage'; u'Sunfire Cape'; u'Ravenous Hydra (Melee Only)'; u'Thornmail'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Spirit Visage'; u'Sunfire Cape'; u'Ravenous Hydra (Melee Only)'; u'Thornmail'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
JarvanIV, 59, [u'Cloth Armor'; u'Chain Vest'; u"Banshee's Veil"; u'Boots of Mobility'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'], [u'Cloth Armor'; u'Chain Vest'; u"Banshee's Veil"; u'Boots of Mobility'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk']
Elise, 60, [u'Blasting Wand'; u'Abyssal Scepter'; u"Sorcerer's Shoes"; u'Frozen Heart'; u"Liandry's Torment"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'], [u'Lich Bane'; u'Boots of Mobility'; u"Liandry's Torment"; u'Will of the Ancients'; u"Luden's Echo"; u'Warding Totem (Trinket)'; u'Enchantment: Magus']
Orianna, 61, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Athene's Unholy Grail"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Athene's Unholy Grail"; u"Luden's Echo"; u'Warding Totem (Trinket)']
MonkeyKing, 62, [u'Last Whisper'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u"Banshee's Veil"; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Sunfire Cape'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u'Boots of Mobility'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
Brand, 63, [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Liandry's Torment"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Liandry's Torment"; u"Luden's Echo"; u'Warding Totem (Trinket)']
LeeSin, 64, [u'Ruby Crystal'; u'Sightstone'; u'Boots of Mobility'; u"Randuin's Omen"; u"Spectre's Cowl"; u'Sweeping Lens (Trinket)'; u'Enchantment: Warrior'], [u'Ruby Crystal'; u'Sightstone'; u'Boots of Mobility'; u"Randuin's Omen"; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
Vayne, 67, [u'Pickaxe'; u'B. F. Sword'; u"Doran's Blade"; u"Berserker's Greaves"; u'Phantom Dancer'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u'Pickaxe'; u'B. F. Sword'; u"Doran's Blade"; u"Berserker's Greaves"; u'Phantom Dancer'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Rumble, 68, [u"Giant's Belt"; u'Blasting Wand'; u'Amplifying Tome'; u"Sorcerer's Shoes"; u"Liandry's Torment"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Liandry's Torment"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Cassiopeia, 69, [u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Seraph's Embrace"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Skarner, 72, [u'Iceborn Gauntlet'; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'; u'Righteous Glory'], [u'Iceborn Gauntlet'; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'; u'Righteous Glory']
Heimerdinger, 74, [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Warding Totem (Trinket)'], [u'Blasting Wand'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Zhonya's Hourglass"; u'Morellonomicon'; u'Warding Totem (Trinket)']
Nasus, 75, [u'Spirit Visage'; u'Thornmail'; u'Trinity Force'; u'Frozen Heart'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Spirit Visage'; u'Thornmail'; u'Trinity Force'; u'Frozen Heart'; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Nidalee, 76, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Udyr, 77, [u'Ninja Tabi'; u'Thornmail'; u'Trinity Force'; u'Frozen Heart'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'], [u'Ninja Tabi'; u'Trinity Force'; u"Banshee's Veil"; u'Frozen Heart'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk']
Poppy, 78, [u'Crystalline Flask'; u'Trinity Force'; u'Stinger'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Ionian Boots of Lucidity'; u"Oracle's Lens (Trinket)"], [u'Crystalline Flask'; u'Trinity Force'; u'Stinger'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Ionian Boots of Lucidity'; u"Oracle's Lens (Trinket)"]
Gragas, 79, [u'Spirit Visage'; u'Thornmail'; u'Frozen Heart'; u"Mercury's Treads"; u"Oracle's Lens (Trinket)"; u'Enchantment: Cinderhulk'; u'Righteous Glory'], [u'Spirit Visage'; u'Thornmail'; u'Frozen Heart'; u"Mercury's Treads"; u"Oracle's Lens (Trinket)"; u'Enchantment: Cinderhulk'; u'Righteous Glory']
Pantheon, 80, [u'Last Whisper'; u'Ninja Tabi'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u"Warmog's Armor"; u"Banshee's Veil"; u'Warding Totem (Trinket)'], [u'Guardian Angel'; u'Last Whisper'; u'Ninja Tabi'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)']
Ezreal, 81, [u'Vampiric Scepter'; u"Doran's Blade"; u'Last Whisper'; u'Muramana'; u'Trinity Force'; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)'], [u'B. F. Sword'; u'Vampiric Scepter'; u'Last Whisper'; u'Muramana'; u'Trinity Force'; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)']
